cud_diff,validity,target_location,correct,response_time
0.06661919999896782,invalid,right,1,0.41805099999692175
0.06642640000063693,valid,left,1,0.2539744999994582
0.06784109999716748,invalid,left,1,0.40943479999987176
0.06662040000082925,valid,right,1,0.22128169999996317
0.06646890000047279,valid,left,1,0.27393559999836725
0.06666340000083437,valid,left,1,0.22296600000117905
0.0666477999984636,invalid,right,1,0.36058049999701325
0.06679709999662009,invalid,left,1,0.2676718999973673
0.06575420000081067,invalid,left,1,0.2913980999983323
0.06654060000073514,invalid,right,1,0.25365270000111195
0.0666218000005756,valid,left,1,0.3685351999993145
0.06653199999709614,valid,left,1,0.2905535999998392
0.06659529999888036,valid,left,1,0.2709130000002915
0.06621809999705874,invalid,left,1,0.3795509999981732
0.06667869999728282,valid,left,1,0.26855649999924935
0.06569430000308785,valid,left,1,0.24741759999960777
0.06662329999744543,valid,right,1,0.34107829999993555
0.06666530000075,invalid,right,0,0.277444800001831
0.0664799000005587,valid,left,1,0.30906379999942146
0.06566770000063116,valid,left,0,no_response
0.06643460000123014,valid,left,1,0.27677029999904335
0.06668079999872134,invalid,right,1,0.32547060000069905
0.06651369999963208,valid,left,1,0.23578529999940656
0.06648049999785144,valid,left,1,0.36456320000070264
0.06669170000168378,valid,right,1,0.2906083000016224
0.06667190000007395,invalid,left,1,0.29159530000106315
0.06649639999886858,invalid,right,1,0.2803753999978653
0.06624550000196905,valid,left,1,0.24195139999937965
0.0661325000000943,invalid,right,1,0.29240199999912875
0.0665420000004815,invalid,left,1,0.23768009999912465
0.06585150000319118,valid,right,1,0.2495219000011275
0.0666936000015994,invalid,left,0,0.28742330000022775
0.06648649999988265,valid,right,1,0.2656028999990667
0.06656290000319132,invalid,left,1,0.35556369999903836
0.0671172000002116,invalid,right,1,0.3028316999989329
0.06658199999947101,valid,left,1,0.21914839999953983
0.06646700000055716,invalid,left,0,0.3247821000004478
0.06539969999721507,valid,left,1,0.28037699999913457
0.06664349999846308,valid,right,1,0.328905999998824
0.06658209999659448,valid,right,1,0.2401279000005161
0.06668039999931352,valid,right,1,0.4326072000003478
0.06562279999707243,valid,left,0,no_response
0.0668770999982371,valid,right,0,no_response
0.06378169999879901,invalid,right,0,no_response
0.06674869999915245,valid,left,1,0.45099320000008447
0.06725770000048215,valid,left,1,0.3016739000013331
0.06535720000101719,valid,right,1,0.32246870000017225
0.06614429999899585,valid,right,1,0.2841344000007666
0.0664348999998765,valid,left,1,0.39668620000156807
0.06519479999769828,invalid,right,1,0.2998881999992591
0.06672919999982696,valid,right,1,0.28200719999949797
0.0666356999972777,invalid,left,1,0.40080719999969006
0.06663790000311565,valid,left,1,0.2810700000009092
0.06579710000005434,valid,right,1,0.35008210000160034
0.06631130000096164,valid,left,1,0.3331748000018706
0.06653999999980442,valid,left,1,0.34476290000020526
0.06654119999802788,valid,left,1,0.35208309999870835
0.06644340000275406,valid,right,1,0.31028109999897424
0.06654319999870495,valid,left,1,0.2207507999992231
0.06664960000125575,valid,left,1,0.23663219999798457
0.06573960000241641,valid,right,0,no_response
0.06664269999964745,valid,left,1,0.288860199998453
0.06685430000288761,valid,right,0,0.30670219999956316
0.06593960000100196,valid,left,0,0.731177799996658
0.06667240000024321,valid,left,1,0.39819809999971767
0.06655659999887575,valid,left,1,0.06272790000002715
0.06671909999931813,valid,right,1,0.24507549999907496
0.0666190000010829,valid,left,1,0.235444699999789
0.06685409999772673,valid,right,1,0.3081084000004921
0.06668939999872237,valid,right,1,0.2558060999981535
0.06651849999980186,valid,left,1,0.300014899999951
0.06683039999916218,valid,right,1,0.28437859999758075
0.06583600000158185,valid,left,1,0.28147850000095787
0.06664839999939431,valid,right,1,0.20681100000001607
0.06664250000176253,valid,right,1,0.24009420000220416
0.06678530000135652,valid,right,0,no_response
0.07124199999816483,valid,right,0,no_response
0.06828039999891189,valid,right,0,no_response
0.06670969999686349,valid,right,0,no_response
0.06667430000015884,valid,left,0,no_response
0.06617300000289106,valid,right,0,no_response
0.07165559999702964,valid,right,0,no_response
0.06458669999847189,valid,right,0,no_response
0.07050400000298396,valid,right,0,no_response
0.07184509999933653,valid,left,0,no_response
0.0657878999991226,valid,left,0,no_response
0.06857749999835505,valid,right,0,no_response
0.06657170000107726,valid,right,0,no_response
0.06640369999877294,valid,left,0,no_response
0.06682110000110697,valid,right,0,no_response
0.06645370000114781,valid,right,0,no_response
0.06670489999669371,valid,right,0,no_response
0.06764729999849806,valid,right,0,no_response
0.06641669999953592,valid,left,0,no_response
0.06698920000053477,valid,right,0,no_response
0.06652720000056433,valid,right,0,no_response
0.06659060000311001,valid,left,0,no_response
0.06663130000015371,valid,left,0,no_response
0.06655329999921378,valid,right,0,no_response
0.06657389999963925,valid,right,0,0.13729779999994207
